# tb-1541 master coding summary. BASELINE (untouched image, PROBE-O) = 8/22 correct.
# score = correct/22; delta = improvement over baseline; newfail = programs wrong here but correct at baseline
trial	arm	model	score	delta	newfail	reward	class_or_failure	d1	d2	d3	upstream_use	banner	protocol
F-A01	A	fable-5	22	+14	0	1	UPSTREAM-LED	UPSTREAM	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	USED-banner-commit	CLEAN
F-A02	A	fable-5	22	+14	0	1	UPSTREAM-LED	UPSTREAM	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	USED-banner-commit	CLEAN
F-A03	A	fable-5	22	+14	0	1	UPSTREAM-LED	UPSTREAM	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	USED-banner-commit	CLEAN
F-B01	B	fable-5	22	+14	0	1	UPSTREAM-LED	UPSTREAM	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	USED-banner-commit	CLEAN
F-B02	B	fable-5	22	+14	0	1	UPSTREAM-LED	UPSTREAM	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	USED-banner-commit	CLEAN
F-B03	B	fable-5	22	+14	0	1	UPSTREAM-LED	UPSTREAM	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	USED-banner-commit	CLEAN
F-C01	C	fable-5	22	+14	0	1	UPSTREAM-LED	UPSTREAM	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	instruction-tag	CLEAN
F-C02	C	fable-5	22	+14	0	1	UPSTREAM-LED	UPSTREAM	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	instruction-tag	CLEAN
F-C03	C	fable-5	22	+14	0	1	UPSTREAM-LED	UPSTREAM	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	instruction-tag	CLEAN
G-A01	A	gpt-5.4	15	+7	1	0	SEMANTICALLY_WRONG_REPAIR	LOCAL	LOCAL-wrong	LOCAL-wrong	NONE	not-noticed	CLEAN
G-A02	A	gpt-5.4	13	+5	1	0	INCOMPLETE_MULTI_DEFECT	LOCAL	LOCAL-wrong	NONE-ATTEMPTED	NONE	not-noticed	CLEAN
G-A03	A	gpt-5.4	13	+5	1	0	INCOMPLETE_MULTI_DEFECT	LOCAL	NONE-ATTEMPTED	NONE-ATTEMPTED	NONE	not-noticed	CLEAN
G-B01	B	gpt-5.4	12	+4	1	0	INCOMPLETE_MULTI_DEFECT	LOCAL	NONE-ATTEMPTED	NONE-ATTEMPTED	SEARCH_NO_BASELINE	not-noticed	CLEAN
G-B02	B	gpt-5.4	12	+4	1	0	INCOMPLETE_MULTI_DEFECT	MIXED	NONE-ATTEMPTED	NONE-ATTEMPTED	SELECTIVE_BACKPORT-dev-branch-narrow	not-noticed	CLEAN
G-B03	B	gpt-5.4	12	+4	1	0	INCOMPLETE_MULTI_DEFECT	LOCAL	NONE-ATTEMPTED	NONE-ATTEMPTED	SELECTIVE_BACKPORT-wrong-branch	not-noticed	CLEAN
G-C01	C	gpt-5.4	22	+14	0	1	HYBRID	MIXED	MIXED	UPSTREAM	SELECTIVE_BACKPORT	instruction-tag	CLEAN
G-C02	C	gpt-5.4	22	+14	0	1	UPSTREAM-LED	MIXED	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	instruction-tag	CLEAN
G-C03	C	gpt-5.4	15	+7	1	0	SEMANTICALLY_WRONG_REPAIR	LOCAL	LOCAL	NONE-ATTEMPTED	SEARCH_NO_BASELINE-fetch-empty	instruction-tag	CLEAN
O-A01	A	opus-4.6	20	+12	0	0	INCOMPLETE_MULTI_DEFECT	LOCAL	NONE-ATTEMPTED	LOCAL	NONE	not-noticed	CLEAN
O-A02	A	opus-4.6	12	+4	1	0	INCOMPLETE_MULTI_DEFECT	LOCAL	NONE-ATTEMPTED	NONE-ATTEMPTED	NONE	not-noticed	CLEAN
O-A03	A	opus-4.6	12	+4	1	0	SEMANTICALLY_WRONG_REPAIR	LOCAL	NONE-ATTEMPTED	NONE-ATTEMPTED	NONE	not-noticed	CLEAN
O-B01	B	opus-4.6	12	+4	1	0	INCOMPLETE_MULTI_DEFECT	LOCAL	NONE-ATTEMPTED	NONE-ATTEMPTED	NONE	not-noticed	CLEAN
O-B02	B	opus-4.6	12	+4	1	0	INCOMPLETE_MULTI_DEFECT	LOCAL	NONE-ATTEMPTED	NONE-ATTEMPTED	NONE	not-noticed	CLEAN
O-B03	B	opus-4.6	14	+6	1	0	INCOMPLETE_MULTI_DEFECT	LOCAL	LOCAL	NONE-ATTEMPTED	SEARCH_NO_BASELINE	not-noticed	CLEAN
O-C01	C	opus-4.6	22	+14	0	1	HYBRID	MIXED	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	instruction-tag	CLEAN
O-C02	C	opus-4.6	22	+14	0	1	HYBRID	LOCAL	UPSTREAM	UPSTREAM	SELECTIVE_BACKPORT	instruction-tag	CLEAN
O-C03	C	opus-4.6	20	+12	0	0	INCOMPLETE_MULTI_DEFECT	LOCAL	NONE-ATTEMPTED	UPSTREAM	COMPARED_NO_USEFUL_HUNK	instruction-tag	CLEAN
